wavelength_um,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,eta,conservation_plus,conservation_minus
1.565399999999999991e+01,8.137910713857595679e-01,0.000000000000000000e+00,1.862089286142404321e-01,6.891696227404144892e-01,0.000000000000000000e+00,3.108303772595855108e-01,3.108303772595855108e-01,1.246214486453450787e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.565600000000000058e+01,8.190776478124954796e-01,0.000000000000000000e+00,1.809223521875045204e-01,6.710738393557125203e-01,0.000000000000000000e+00,3.289261606442874797e-01,3.289261606442874797e-01,1.480038084567829593e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.565799999999999947e+01,8.241127563596418737e-01,0.000000000000000000e+00,1.758872436403581263e-01,6.516159293637142635e-01,0.000000000000000000e+00,3.483840706362857365e-01,3.483840706362857365e-01,1.724968269959276101e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.566000000000000014e+01,8.289120838508371447e-01,0.000000000000000000e+00,1.710879161491628553e-01,6.307379314715352292e-01,0.000000000000000000e+00,3.692620685284647708e-01,3.692620685284647708e-01,1.981741523793019155e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.566200000000000081e+01,8.334901510445891226e-01,0.000000000000000000e+00,1.665098489554108774e-01,6.083979806234630638e-01,0.000000000000000000e+00,3.916020193765369362e-01,3.916020193765369362e-01,2.250921704211260588e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.566399999999999970e+01,8.378604069230435325e-01,0.000000000000000000e+00,1.621395930769564675e-01,5.845776575396371966e-01,0.000000000000000000e+00,4.154223424603628034e-01,4.154223424603628034e-01,2.532827493834063359e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.566600000000000037e+01,8.420353157240146880e-01,0.000000000000000000e+00,1.579646842759853120e-01,5.592910449441250709e-01,0.000000000000000000e+00,4.407089550558749291e-01,4.407089550558749291e-01,2.827442707798896171e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.566799999999999926e+01,8.460264371899574032e-01,0.000000000000000000e+00,1.539735628100425968e-01,5.325955265527635429e-01,0.000000000000000000e+00,4.674044734472364571e-01,4.674044734472364571e-01,3.134309106371938602e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.566999999999999993e+01,8.498445002522820868e-01,0.000000000000000000e+00,1.501554997477179132e-01,5.046041536369147984e-01,0.000000000000000000e+00,4.953958463630852016e-01,4.953958463630852016e-01,3.452403466153672884e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.567200000000000060e+01,8.534994705644581847e-01,0.000000000000000000e+00,1.465005294355418153e-01,4.754990748334967932e-01,0.000000000000000000e+00,5.245009251665031513e-01,5.245009251665031513e-01,3.780003957309613360e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.567399999999999949e+01,8.570006123459602554e-01,0.000000000000000000e+00,1.429993876540397446e-01,4.455450617119193768e-01,0.000000000000000000e+00,5.544549382880805677e-01,5.544549382880805677e-01,4.114555506340408231e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.567600000000000016e+01,8.603565449233685491e-01,0.000000000000000000e+00,1.396434550766314509e-01,4.151015764283708664e-01,0.000000000000000000e+00,5.848984235716291336e-01,5.848984235716291336e-01,4.452549684949976827e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.567800000000000082e+01,8.635752943713254082e-01,0.000000000000000000e+00,1.364247056286745918e-01,3.846311797156368173e-01,0.000000000000000000e+00,6.153688202843632382e-01,6.153688202843632382e-01,4.789441146556886464e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.567999999999999972e+01,8.666643407473036964e-01,0.000000000000000000e+00,1.333356592526963036e-01,3.547015018399242714e-01,0.000000000000000000e+00,6.452984981600757841e-01,6.452984981600757841e-01,5.119628389073794805e-01,1.000000000000000000e+00,1.000000000000000000e+00
