wavelength_um,metallic_tm_R,metallic_tm_T,metallic_tm_emissivity,metallic_te_R,metallic_te_T,metallic_te_emissivity,insulating_tm_R,insulating_tm_T,insulating_tm_emissivity,insulating_te_R,insulating_te_T,insulating_te_emissivity
8.974999999999999645e+00,2.605527803958197774e-02,5.788355770047179903e-03,9.681563661903708207e-01,7.112593279183100636e-02,1.432163387645465176e-03,9.274419038205234944e-01,9.802927612334855212e-01,7.939566857944033856e-03,1.176767190857044496e-02,9.796110459849567409e-01,7.557925236706028969e-03,1.283102877833722927e-02
8.980000000000000426e+00,2.610096406424961338e-02,5.732617792926511524e-03,9.681664181428237814e-01,7.132103255759159044e-02,1.431259978344662058e-03,9.272477074640637085e-01,9.803047650767764409e-01,7.938705015924762270e-03,1.175652990729879679e-02,9.796089293467540315e-01,7.562172560207572856e-03,1.282889809303839473e-02
8.984999999999999432e+00,2.615005546758105565e-02,5.677898329250525081e-03,9.681720462031684349e-01,7.151600838401256377e-02,1.430361323639696425e-03,9.270536302923477745e-01,9.803165508165183617e-01,7.937934324534726138e-03,1.174551485894691216e-02,9.796068693591079013e-01,7.566402426162245100e-03,1.282672821472985447e-02
8.990000000000000213e+00,2.620238100390726022e-02,5.624175011593770569e-03,9.681734439844990048e-01,7.171086052368622066e-02,1.429467399185904621e-03,9.268596720771278274e-01,9.803281258695878408e-01,7.937251390439006848e-03,1.173462273997315231e-02,9.796048659912474088e-01,7.570614821097895221e-03,1.282451918765469684e-02
8.994999999999999218e+00,2.625777667091339432e-02,5.571425983014847982e-03,9.681707973460716987e-01,7.190558923028654570e-02,1.428578180802826279e-03,9.266658325889106651e-01,9.803394973860051209e-01,7.936652951912285744e-03,1.172384966208259334e-02,9.796029192109643180e-01,7.574809731898047432e-03,1.282227105713763457e-02
9.000000000000000000e+00,2.631608540808232435e-02,5.519629888485492498e-03,9.681642847034321875e-01,7.210019475853285398e-02,1.427693644472872699e-03,9.264721115969941634e-01,9.803506722604837798e-01,7.936135872770611402e-03,1.171319186674560885e-02,9.796010289846350805e-01,7.578987145801111339e-03,1.281998386956380818e-02
9.005000000000000782e+00,2.637715680739272442e-02,5.468765866110922129e-03,9.681540773264963873e-01,7.229467736415637336e-02,1.426813766339931917e-03,9.262785088695036917e-01,9.803616571433619864e-01,7.935697136628417150e-03,1.170264572000959645e-02,9.795991952772278299e-01,7.583147050399597841e-03,1.281765767237257221e-02
9.009999999999999787e+00,2.644084683582392792e-02,5.418813538186490787e-03,9.681403396259895544e-01,7.248903730387144806e-02,1.425938522708109077e-03,9.260850241734204236e-01,9.803724584510145057e-01,7.935333841460516860e-03,1.169220770752497744e-02,9.795974180522932784e-01,7.587289433639190193e-03,1.281529251406753056e-02
9.015000000000000568e+00,2.650701756928978622e-02,5.369753002130545419e-03,9.681232294285797568e-01,7.268327483533851274e-02,1.425067890040302657e-03,9.258916572746211937e-01,9.803830823757102575e-01,7.935043194450878273e-03,1.168187442983886423e-02,9.795956972720263334e-01,7.591414283818082205e-03,1.281288844415558528e-02
9.019999999999999574e+00,2.657553693748182164e-02,5.321564821321108328e-03,9.681028982411971073e-01,7.287739021713461607e-02,1.424201844956963278e-03,9.256984079379084740e-01,9.803935348949974760e-01,7.934822507111178799e-03,1.167164259789134524e-02,9.795940328972132516e-01,7.595521589585992051e-03,1.281044551320075636e-02
