wavelength_um,wavelength_nm,theta_plus_deg,theta_minus_deg,phi_deg,harmonics,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,emissivity_reverse_channel,eta,conservation_plus,conservation_minus
16.4672000000,16467.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9585978095,0.0000000000,0.0414021905,0.9695428150,0.0000000000,0.0304571850,0.0304571850,0.0414021905,0.0109450055,1.0000000000,1.0000000000
16.4684000000,16468.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9591017891,0.0000000000,0.0408982109,0.9695663747,0.0000000000,0.0304336253,0.0304336253,0.0408982109,0.0104645856,1.0000000000,1.0000000000
16.4696000000,16469.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9595628318,0.0000000000,0.0404371682,0.9695896935,0.0000000000,0.0304103065,0.0304103065,0.0404371682,0.0100268618,1.0000000000,1.0000000000
16.4708000000,16470.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9599854027,0.0000000000,0.0400145973,0.9696127704,0.0000000000,0.0303872296,0.0303872296,0.0400145973,0.0096273677,1.0000000000,1.0000000000
16.4720000000,16472.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9603734288,0.0000000000,0.0396265712,0.9696356041,0.0000000000,0.0303643959,0.0303643959,0.0396265712,0.0092621753,1.0000000000,1.0000000000
16.4732000000,16473.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9607303690,0.0000000000,0.0392696310,0.9696581935,0.0000000000,0.0303418065,0.0303418065,0.0392696310,0.0089278245,1.0000000000,1.0000000000
16.4744000000,16474.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9610592750,0.0000000000,0.0389407250,0.9696805372,0.0000000000,0.0303194628,0.0303194628,0.0389407250,0.0086212622,1.0000000000,1.0000000000
16.4756000000,16475.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9613628441,0.0000000000,0.0386371559,0.9697026341,0.0000000000,0.0302973659,0.0302973659,0.0386371559,0.0083397900,1.0000000000,1.0000000000
16.4768000000,16476.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9616434641,0.0000000000,0.0383565359,0.9697244827,0.0000000000,0.0302755173,0.0302755173,0.0383565359,0.0080810185,1.0000000000,1.0000000000
16.4780000000,16478.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9619032535,0.0000000000,0.0380967465,0.9697460816,0.0000000000,0.0302539184,0.0302539184,0.0380967465,0.0078428281,1.0000000000,1.0000000000
16.4792000000,16479.2000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9621440946,0.0000000000,0.0378559054,0.9697674296,0.0000000000,0.0302325704,0.0302325704,0.0378559054,0.0076233350,1.0000000000,1.0000000000
16.4804000000,16480.4000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9623676633,0.0000000000,0.0376323367,0.9697885251,0.0000000000,0.0302114749,0.0302114749,0.0376323367,0.0074208618,1.0000000000,1.0000000000
16.4816000000,16481.6000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9625754542,0.0000000000,0.0374245458,0.9698093666,0.0000000000,0.0301906334,0.0301906334,0.0374245458,0.0072339123,1.0000000000,1.0000000000
16.4828000000,16482.8000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9627688032,0.0000000000,0.0372311968,0.9698299525,0.0000000000,0.0301700475,0.0301700475,0.0372311968,0.0070611494,1.0000000000,1.0000000000
16.4840000000,16484.0000000000,5.0000000000,-5.0000000000,0.0000000000,169.0000000000,0.9629489055,0.0000000000,0.0370510945,0.9698502814,0.0000000000,0.0301497186,0.0301497186,0.0370510945,0.0069013759,1.0000000000,1.0000000000
