wavelength_um,R,T,A,R_plus_T_plus_A
1.043250000000000011e+00,8.057043337628883029e-01,4.683750399606407947e-05,1.942488287331156360e-01,1.000000000000000000e+00
1.043499999999999872e+00,8.044903653331663129e-01,4.675839231816923181e-05,1.954628762745155290e-01,1.000000000000000000e+00
1.043749999999999956e+00,8.032671343854886903e-01,4.668038949728022034e-05,1.966861852250140208e-01,1.000000000000000000e+00
1.044000000000000039e+00,8.020347225676039971e-01,4.660353443157289700e-05,1.979186738979644422e-01,1.000000000000000000e+00
1.044249999999999901e+00,8.007932194622429112e-01,4.652786693520037550e-05,1.991602526708218801e-01,1.000000000000000000e+00
1.044499999999999984e+00,7.995427229189775442e-01,4.645342773866652540e-05,2.004108236532837761e-01,1.000000000000000000e+00
1.044750000000000068e+00,7.982833393949868572e-01,4.638025848778797727e-05,2.016702803465253435e-01,1.000000000000000000e+00
1.044999999999999929e+00,7.970151843033709271e-01,4.630840174107810552e-05,2.029385072948879931e-01,1.000000000000000000e+00
1.045250000000000012e+00,7.957383823694585967e-01,4.623790096547253419e-05,2.042153797295759299e-01,1.000000000000000000e+00
1.045499999999999874e+00,7.944530679953798469e-01,4.616880053035979760e-05,2.055007632040898036e-01,1.000000000000000000e+00
1.045749999999999957e+00,7.931593856309764323e-01,4.610114569972829468e-05,2.067945132233238448e-01,1.000000000000000000e+00
1.046000000000000041e+00,7.918574901531442167e-01,4.603498262242250298e-05,2.080964748642333551e-01,1.000000000000000000e+00
1.046249999999999902e+00,7.905475472509355672e-01,4.597035832033392319e-05,2.094064823907441086e-01,1.000000000000000000e+00
1.046499999999999986e+00,7.892297338175019439e-01,4.590732067448087192e-05,2.107243588618235852e-01,1.000000000000000000e+00
1.046750000000000069e+00,7.879042383479069045e-01,4.584591840883586478e-05,2.120499157336842577e-01,1.000000000000000000e+00
1.046999999999999931e+00,7.865712613424140631e-01,4.578620107182460080e-05,2.133829524565141189e-01,1.000000000000000000e+00
1.047250000000000014e+00,7.852310157142854408e-01,4.572821901535980985e-05,2.147232560666992029e-01,1.000000000000000000e+00
1.047499999999999876e+00,7.838837272020391378e-01,4.567202337133614940e-05,2.160706007745895330e-01,1.000000000000000000e+00
1.047749999999999959e+00,7.825296347855315027e-01,4.561766602546728797e-05,2.174247475484430425e-01,1.000000000000000000e+00
1.048000000000000043e+00,7.811689911037955625e-01,4.556519958832086134e-05,2.187854436966161220e-01,1.000000000000000000e+00
1.048249999999999904e+00,7.798020628758962625e-01,4.551467736354840803e-05,2.201524224467401869e-01,1.000000000000000000e+00
1.048499999999999988e+00,7.784291313219295905e-01,4.546615331305008220e-05,2.215254025247573588e-01,1.000000000000000000e+00
1.048750000000000071e+00,7.770504925844281541e-01,4.541968201911788491e-05,2.229040877335527193e-01,1.000000000000000000e+00
1.048999999999999932e+00,7.756664581483349030e-01,4.537531864334994476e-05,2.242881665330217489e-01,1.000000000000000000e+00
1.049250000000000016e+00,7.742773552588856356e-01,4.533311888228850218e-05,2.256773116222320630e-01,1.000000000000000000e+00
1.049499999999999877e+00,7.728835273359389024e-01,4.529313891966057338e-05,2.270711795251414422e-01,1.000000000000000000e+00
1.049749999999999961e+00,7.714853343832142052e-01,4.525543537511024440e-05,2.284694101814106759e-01,1.000000000000000000e+00
1.050000000000000044e+00,7.700831533916359106e-01,4.522006524937724871e-05,2.298716265431147154e-01,1.000000000000000000e+00
1.050249999999999906e+00,7.686773787341522057e-01,4.518708586576099348e-05,2.312774341799820332e-01,1.000000000000000000e+00
1.050499999999999989e+00,7.672684225517185652e-01,4.515655480785374468e-05,2.326864208934735778e-01,1.000000000000000000e+00
1.050750000000000073e+00,7.658567151274315865e-01,4.512852985339749115e-05,2.340981563427150247e-01,1.000000000000000000e+00
1.050999999999999934e+00,7.644427052481708174e-01,4.510306890425824685e-05,2.355121916829249207e-01,1.000000000000000000e+00
1.051250000000000018e+00,7.630268605507715129e-01,4.508022991239407705e-05,2.369280592193160895e-01,1.000000000000000000e+00
1.051499999999999879e+00,7.616096678516008911e-01,4.506007080178790010e-05,2.383452720775973144e-01,1.000000000000000000e+00
1.051749999999999963e+00,7.601916334565551603e-01,4.504264938627684838e-05,2.397633238940585498e-01,1.000000000000000000e+00
1.052000000000000046e+00,7.587732834498296386e-01,4.502802328325385464e-05,2.411816885268870947e-01,1.000000000000000000e+00
1.052249999999999908e+00,7.573551639593379958e-01,4.501624982321787575e-05,2.425998197908387777e-01,1.000000000000000000e+00
1.052499999999999991e+00,7.559378413953832254e-01,4.500738595510265995e-05,2.440171512186616598e-01,1.000000000000000000e+00
1.052750000000000075e+00,7.545219026612646207e-01,4.500148814746012828e-05,2.454330958505879234e-01,1.000000000000000000e+00
1.052999999999999936e+00,7.531079553322568287e-01,4.499861228542561983e-05,2.468470460554577361e-01,1.000000000000000000e+00
1.053250000000000020e+00,7.516966278009815650e-01,4.499881356355496282e-05,2.482583733854548669e-01,1.000000000000000000e+00
1.053499999999999881e+00,7.502885693861616190e-01,4.500214637451943248e-05,2.496664284674638690e-01,1.000000000000000000e+00
1.053749999999999964e+00,7.488844504018109527e-01,4.500866419377576435e-05,2.510705409339952787e-01,1.000000000000000000e+00
1.054000000000000048e+00,7.474849621842060143e-01,4.501841946019699260e-05,2.524700193963337891e-01,1.000000000000000000e+00
1.054249999999999909e+00,7.460908170735387479e-01,4.503146345286457574e-05,2.538641514630083917e-01,1.000000000000000000e+00
1.054499999999999993e+00,7.447027483480612720e-01,4.504784616407746988e-05,2.552522038057746245e-01,1.000000000000000000e+00
1.054749999999999854e+00,7.433215101061851904e-01,4.506761616870893150e-05,2.566334222776461282e-01,1.000000000000000000e+00
1.054999999999999938e+00,7.419478770952491198e-01,4.509082049011489316e-05,2.580070320842607901e-01,1.000000000000000000e+00
1.055250000000000021e+00,7.405826444831056232e-01,4.511750446275177213e-05,2.593722380124316440e-01,1.000000000000000000e+00
1.055499999999999883e+00,7.392266275698109457e-01,4.514771159174302913e-05,2.607282247185973012e-01,1.000000000000000000e+00
1.055749999999999966e+00,7.378806614362004579e-01,4.518148340957909654e-05,2.620741570803899467e-01,1.000000000000000000e+00
1.056000000000000050e+00,7.365456005273216533e-01,4.521885933031963008e-05,2.634091806133480040e-01,1.000000000000000000e+00
1.056249999999999911e+00,7.352223181670394236e-01,4.525987650145838999e-05,2.647324219564591297e-01,1.000000000000000000e+00
1.056499999999999995e+00,7.339117060018021110e-01,4.530456965393253734e-05,2.660429894285439301e-01,1.000000000000000000e+00
1.056750000000000078e+00,7.326146733707058489e-01,4.535297095047308738e-05,2.673399736583436659e-01,1.000000000000000000e+00
1.056999999999999940e+00,7.313321466003199767e-01,4.540510983283577515e-05,2.686224482898471599e-01,1.000000000000000000e+00
1.057250000000000023e+00,7.300650682203383424e-01,4.546101286819587920e-05,2.698894707667934822e-01,1.000000000000000000e+00
