wavelength_um,R,T,A,R_plus_T_plus_A
1.020750000000000046e+00,8.781594198433532172e-01,5.572083313232839352e-05,1.217848593235144605e-01,1.000000000000000000e+00
1.020999999999999908e+00,8.776951687001637303e-01,5.561752471081086541e-05,1.222492137751254593e-01,1.000000000000000000e+00
1.021249999999999991e+00,8.772247514284783332e-01,5.551419474488319440e-05,1.227197343767767873e-01,1.000000000000000000e+00
1.021500000000000075e+00,8.767481241235312028e-01,5.541084403405969132e-05,1.231964650324347404e-01,1.000000000000000000e+00
1.021749999999999936e+00,8.762652422801684438e-01,5.530747344925857545e-05,1.236794502463822998e-01,1.000000000000000000e+00
1.022000000000000020e+00,8.757760608005320524e-01,5.520408393572871048e-05,1.241687351155322250e-01,1.000000000000000000e+00
1.022249999999999881e+00,8.752805340015097357e-01,5.510067651605723564e-05,1.246643653219742104e-01,1.000000000000000000e+00
1.022499999999999964e+00,8.747786156226106113e-01,5.499725229330164951e-05,1.251663871250960902e-01,1.000000000000000000e+00
1.022750000000000048e+00,8.742702588340193204e-01,5.489381245422320587e-05,1.256748473535264643e-01,1.000000000000000000e+00
1.022999999999999909e+00,8.737554162451168782e-01,5.479035827265735941e-05,1.261897933966104612e-01,1.000000000000000000e+00
1.023249999999999993e+00,8.732340399131657271e-01,5.468689111298745469e-05,1.267112731957212857e-01,1.000000000000000000e+00
1.023500000000000076e+00,8.727060813523179750e-01,5.458341243376188198e-05,1.272393352352482743e-01,1.000000000000000000e+00
1.023749999999999938e+00,8.721714915429690240e-01,5.447992379140498970e-05,1.277740285332395753e-01,1.000000000000000000e+00
1.024000000000000021e+00,8.716302209417796654e-01,5.437642684412339700e-05,1.283154026313762242e-01,1.000000000000000000e+00
1.024249999999999883e+00,8.710822194916529870e-01,5.427292335589271362e-05,1.288635075849911271e-01,1.000000000000000000e+00
1.024499999999999966e+00,8.705274366324305957e-01,5.416941520060085234e-05,1.294183939523688154e-01,1.000000000000000000e+00
1.024750000000000050e+00,8.699658213120475825e-01,5.406590436637402955e-05,1.299801127835860381e-01,1.000000000000000000e+00
1.024999999999999911e+00,8.693973219981093736e-01,5.396239295999620371e-05,1.305487156089306378e-01,1.000000000000000000e+00
