wavelength_um,wavelength_nm,theta_plus_deg,theta_minus_deg,phi_deg,harmonics,R_plus,T_plus,A_plus,R_minus,T_minus,A_minus,emissivity_same_channel,emissivity_reverse_channel,eta,conservation_plus,conservation_minus
15.0920000000,15092.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9619338863,0.0000000000,0.0380661137,0.9414555569,0.0000000000,0.0585444431,0.0585444431,0.0380661137,0.0204783294,1.0000000000,1.0000000000
15.0930000000,15093.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9619084159,0.0000000000,0.0380915841,0.9420067700,0.0000000000,0.0579932300,0.0579932300,0.0380915841,0.0199016459,1.0000000000,1.0000000000
15.0940000000,15094.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9618802808,0.0000000000,0.0381197192,0.9425458490,0.0000000000,0.0574541510,0.0574541510,0.0381197192,0.0193344319,1.0000000000,1.0000000000
15.0950000000,15095.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9618495129,0.0000000000,0.0381504871,0.9430730918,0.0000000000,0.0569269082,0.0569269082,0.0381504871,0.0187764211,1.0000000000,1.0000000000
15.0960000000,15096.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9618161420,0.0000000000,0.0381838580,0.9435887886,0.0000000000,0.0564112114,0.0564112114,0.0381838580,0.0182273534,1.0000000000,1.0000000000
15.0970000000,15097.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9617801965,0.0000000000,0.0382198035,0.9440932218,0.0000000000,0.0559067782,0.0559067782,0.0382198035,0.0176869746,1.0000000000,1.0000000000
15.0980000000,15098.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9617417029,0.0000000000,0.0382582971,0.9445866662,0.0000000000,0.0554133338,0.0554133338,0.0382582971,0.0171550367,1.0000000000,1.0000000000
15.0990000000,15099.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9617006861,0.0000000000,0.0382993139,0.9450693892,0.0000000000,0.0549306108,0.0549306108,0.0382993139,0.0166312969,1.0000000000,1.0000000000
15.1000000000,15100.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9616571697,0.0000000000,0.0383428303,0.9455416512,0.0000000000,0.0544583488,0.0544583488,0.0383428303,0.0161155185,1.0000000000,1.0000000000
15.1010000000,15101.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9616111752,0.0000000000,0.0383888248,0.9460037055,0.0000000000,0.0539962945,0.0539962945,0.0383888248,0.0156074697,1.0000000000,1.0000000000
15.1020000000,15102.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9615627232,0.0000000000,0.0384372768,0.9464557987,0.0000000000,0.0535442013,0.0535442013,0.0384372768,0.0151069244,1.0000000000,1.0000000000
15.1030000000,15103.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9615118323,0.0000000000,0.0384881677,0.9468981708,0.0000000000,0.0531018292,0.0531018292,0.0384881677,0.0146136615,1.0000000000,1.0000000000
15.1040000000,15104.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9614585201,0.0000000000,0.0385414799,0.9473310554,0.0000000000,0.0526689446,0.0526689446,0.0385414799,0.0141274647,1.0000000000,1.0000000000
15.1050000000,15105.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9614028025,0.0000000000,0.0385971975,0.9477546797,0.0000000000,0.0522453203,0.0522453203,0.0385971975,0.0136481228,1.0000000000,1.0000000000
15.1060000000,15106.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9613446943,0.0000000000,0.0386553057,0.9481692650,0.0000000000,0.0518307350,0.0518307350,0.0386553057,0.0131754292,1.0000000000,1.0000000000
15.1070000000,15107.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9612842087,0.0000000000,0.0387157913,0.9485750267,0.0000000000,0.0514249733,0.0514249733,0.0387157913,0.0127091820,1.0000000000,1.0000000000
15.1080000000,15108.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9612213580,0.0000000000,0.0387786420,0.9489721744,0.0000000000,0.0510278256,0.0510278256,0.0387786420,0.0122491835,1.0000000000,1.0000000000
15.1090000000,15109.0000000000,1.0000000000,-1.0000000000,0.0000000000,57.0000000000,0.9611561528,0.0000000000,0.0388438472,0.9493609122,0.0000000000,0.0506390878,0.0506390878,0.0388438472,0.0117952407,1.0000000000,1.0000000000
